"Area_Actual","Area","Primary_Type","Multi_Type","Primary_Tenure","Median_PSF","Transactions","Actual","Predicted"
"simpang ampat","Other","terrace house",1,1,373.999999999999,11,575000.000000007,616206.254194616
"kampar","Other","terrace house",0,0,171,11,239800.000000012,254092.949791344
"bagan serai","Other","semi d",1,1,187.000000000001,11,317800.000000015,429111.263224292
"simpang","Other","terrace house",0,1,187.000000000001,11,288000.000000005,290019.424173254
"klang","klang","semi d",0,1,334,11,1120000.00000003,766671.2947912
"ampang","ampang","terrace house",0,0,499.999999999999,11,529999.999999998,663299.805802815
"pontian","Other","terrace house",1,1,234,11,365999.999999999,386974.803120343
"sungai bakap","Other","semi d",1,1,245.999999999999,11,669999.999999968,563275.106164616
"masai","Other","terrace house",0,1,393,11,780000.000000019,605932.730672724
"bachang","Other","terrace house",0,0,219,11,299999.999999989,324780.510254367
"ipoh","ipoh","terrace house",1,0,146.000000000001,11,250000.000000004,226148.805705702
"batu gajah","Other","terrace house",0,0,186,11,260000.000000009,276197.88408123
"ipoh","ipoh","terrace house",0,1,180,11,239999.999999993,272168.836690585
"ulu tiram","Other","terrace house",0,1,426.999999999998,11,629999.99999999,657922.058507451
"kapar","kapar","terrace house",0,0,276,11,360000.000000003,387151.601017229
"cheras","cheras","terrace house",0,1,472.999999999999,11,830000.000000016,740795.855594414
"sikamat","Other","cluster house",0,1,129,11,142999.999999994,244480.565919712
"simpang ampat","Other","semi d",1,1,299.000000000001,11,494999.999999987,683574.397922638
"kuching","kuching","terrace house",0,0,178.999999999999,11,399999.999999992,276962.257958751
"skudai","skudai","terrace house",1,1,426,11,649999.999999987,722183.29937883
"miri","Other","bungalow",0,0,114.000000000001,11,680000.000000007,316602.545616236
"simpang pulai","Other","terrace house",0,0,220,11,309999.999999991,326251.758777056
"bukit baru","Other","terrace house",0,1,226.999999999999,11,438000.000000007,351515.80335726
"senai","Other","terrace house",0,1,259.000000000001,11,269999.999999997,400650.166299981
"johor bahru","johor bahru","semi d",1,1,250.000000000001,11,615000.000000028,690550.262230503
"sepang","Other","terrace house",0,0,156,11,399999.999999992,231972.639145597
"batu kawan","Other","service residence",0,1,628.000000000001,11,319999.999999997,567562.108480505
"johor bahru","johor bahru","condominium",0,1,279.000000000001,11,499000.000000022,403731.67605515
"ayer itam","Other","apartment",0,0,391.999999999999,11,278000.000000007,311305.201179313
"cheras","cheras","flat",0,1,242.000000000001,11,137999.999999994,161365.917500239
"cheras","cheras","condominium",0,1,402.999999999999,11,399999.999999992,490282.779282746
"masai","Other","apartment",0,1,260.000000000001,11,209999.999999999,216362.43558616
"kepong","Other","apartment",0,1,353.000000000001,11,319999.999999997,293043.328327845
"desa parkcity","Other","condominium",0,1,786.999999999997,11,1380000.00000002,936208.336166193
"jalan klang lama (old klang road)","Other","condominium",0,1,313.999999999999,11,265000.000000011,376258.774501811
"cheras","cheras","condominium",0,1,367,11,350000.000000001,446816.697132755
"port dickson","Other","condominium",0,1,321.000000000001,11,299999.999999989,384579.573264828
"klang","klang","apartment",0,1,345.999999999999,11,299999.999999989,308377.796389131
"shah alam","shah alam","flat",0,0,375.999999999998,11,299999.999999989,246453.432851328
"taman desa","Other","flat",0,0,353.000000000001,11,196999.999999995,220868.598589116
"mont kiara","Other","condominium",0,1,561.000000000002,11,1120000.00000003,669151.59471638
"bayan lepas","Other","condominium",0,1,526.999999999999,11,639699.999999981,628908.166314211
"ara damansara","Other","condominium",0,0,399.999999999999,11,420000.00000002,458023.917178123
"dutamas","Other","condominium",0,1,913.000000000001,11,1765799.99999997,1084820.63488951
"cyberjaya","Other","service residence",0,1,399.999999999999,11,399999.999999992,362797.818804907
"sungei baru tengah","Other","terrace house",0,1,174,10,260000.000000009,270559.987331162
"kota sarang semut","Other","terrace house",0,1,173,10,225000.00000001,269017.320103022
"jalan klang lama (old klang road)","Other","terrace house",0,1,416.999999999999,10,575000.000000007,643939.712860754
"melaka city","Other","terrace house",1,1,147,10,250000.000000004,244491.455947115
"batu pahat","batu pahat","semi d",1,1,310.999999999999,10,646076.000000006,704748.794272276
"tangkak","Other","terrace house",0,1,104,10,99999.9999999972,162374.274484491
"rantau","Other","semi d",0,1,143,10,401531.00000002,308471.863951544
"sepang","Other","terrace house",0,0,211.000000000001,10,395000.000000016,313644.266992026
"merlimau","Other","cluster house",0,1,147,10,398799.999999992,278871.388942698
"sri aman","Other","terrace house",0,1,106,10,295000.000000013,165471.901067817
"sikamat","Other","terrace house",0,1,247.000000000001,10,356500.000000005,383007.016610903
"kuantan","kuantan","terrace house",0,1,174.999999999999,10,266499.99999999,268208.330643706
"kuantan","kuantan","terrace house",0,0,165,10,285000.000000004,242227.784313799
"kuala lipis","Other","terrace house",1,1,115,10,326299.999999996,191640.940176975
"lunas","Other","semi d",1,1,303,10,489999.999999995,694053.005270828
"lukut","Other","terrace house",0,1,217,10,418000.000000003,336833.080903707
"bukit katil","Other","semi d",1,1,136,10,200000.000000005,313504.120115446
"sungai petani","sungai petani","semi d",0,1,131,10,420000.00000002,263189.045567516
"raub","Other","terrace house",0,1,250.999999999999,10,272499.99999999,389160.061878125
"nilai","Other","terrace house",0,1,177,10,309999.999999991,275187.569490133
"ulu tiram","Other","terrace house",0,1,393,10,579999.999999999,607163.302953246
"pasir gudang","Other","terrace house",0,1,285.999999999999,10,497249.999999991,442967.379559688
"kuching","kuching","bungalow",1,0,274,10,864999.999999986,842571.18344807
"sepang","Other","terrace house",0,0,200.000000000001,10,499499.999999977,297419.187155656
"kulai","Other","terrace house",0,1,307.000000000001,10,317999.999999995,475226.297513425
"batu gajah","Other","terrace house",0,0,164,10,229999.999999992,244267.206392255
"tebrau","tebrau","terrace house",1,1,255.999999999999,10,425000.000000019,453343.782173589
"ijok","Other","semi d",1,0,262.999999999999,10,699999.99999997,577425.600731197
"dengkil","Other","semi d",0,1,233,10,910500,500676.136138119
"ipoh","ipoh","terrace house",0,1,224,10,337499.999999993,338799.762329479
