"Area_Actual","Area","Primary_Type","Multi_Type","Primary_Tenure","Median_PSF","Transactions","Actual","Predicted"
"tapah","Other","terrace house",0,0,121,34.9999999999999,168999.999999998,175902.058435134
"gelang patah","Other","terrace house",0,1,402.999999999999,34.9999999999999,527680.000000015,606108.467785287
"skudai","skudai","semi d",1,1,426.999999999998,34.9999999999999,1000000.00000003,978245.95941059
"telok panglima garang","Other","semi d",1,0,258.000000000001,34.9999999999999,454220.000000007,551625.993634069
"kota kinabalu","Other","apartment",0,0,415.000000000001,34.9999999999999,250000.000000004,321404.685567518
"ara damansara","Other","condominium",0,1,419.999999999998,34.9999999999999,443000.000000012,489898.433182888
"dengkil","Other","terrace house",0,0,944,33.9999999999999,1450000.00000006,1351021.10311418
"merlimau","Other","terrace house",0,1,186,33.9999999999999,311650.000000001,281633.734455372
"sungai petani","sungai petani","terrace house",0,1,174.999999999999,33.9999999999999,270999.99999999,246737.417881718
"cheras","cheras","terrace house",0,0,458.000000000002,33.9999999999999,859000.000000006,670633.102239622
"ayer itam","Other","flat",0,0,272.000000000001,33.9999999999999,164999.999999997,166491.563806638
"cheras","cheras","condominium",0,1,801,33.9999999999999,970000.000000034,946193.765689291
"kepong","Other","terrace house",0,0,456.000000000002,33,889999.99999998,656799.43384781
"ampangan","Other","semi d",1,1,279.000000000001,33,433679.999999992,623448.572203898
"skudai","skudai","terrace house",0,1,429.000000000001,33,649999.999999987,665062.622793183
"kulim","Other","terrace house",0,1,189,32.0000000000001,274999.999999998,286509.46206102
"duyong","Other","terrace house",0,0,157,32.0000000000001,268000.000000002,228201.298402103
"tebrau","tebrau","terrace house",0,1,522.999999999998,32.0000000000001,880000.000000009,841061.912464263
"bandar utama","Other","condominium",0,1,565.999999999999,32.0000000000001,1268999.99999997,659896.526339973
"bidor","Other","terrace house",0,0,132,31.0000000000001,185000.000000007,192257.03603727
"seri iskandar","Other","terrace house",0,0,245.000000000001,31.0000000000001,343039.999999994,355097.788119594
"cheras","cheras","terrace house",0,1,361,31.0000000000001,445000.00000001,554236.924962902
"petaling jaya","Other","terrace house",0,1,656.000000000001,30.0000000000001,1565000.00000001,986050.113067633
"klang","klang","semi d",1,0,287,30.0000000000001,475000.00000001,660308.243361107
"alor setar","Other","semi d",0,1,117,30.0000000000001,299999.999999989,246944.374646026
